Time Difference (s),Nodes,State,Backfilled
7184,448,COMPLETED,yes
7189,3,FAILED,yes
6704,4,COMPLETED,yes
6080,16,COMPLETED,yes
1783,1,COMPLETED,yes
1785,1,FAILED,yes
89,3,COMPLETED,yes
1786,1,FAILED,yes
1783,1,COMPLETED,yes
1789,1,FAILED,yes
589,192,COMPLETED,yes
1784,1,FAILED,yes
1784,1,COMPLETED,yes
1785,1,COMPLETED,yes
-6,1,TIMEOUT,yes
554,192,COMPLETED,yes
1785,1,COMPLETED,yes
-7,5,TIMEOUT,yes
1775,1,FAILED,yes
1599,1,CANCELLED by 16944,yes
1785,1,COMPLETED,yes
1784,1,COMPLETED,yes
-1,448,TIMEOUT,yes
1785,1,COMPLETED,yes
1787,1,COMPLETED,yes
1786,1,COMPLETED,yes
3234,1,CANCELLED by 16819,yes
1786,1,COMPLETED,yes
1786,1,COMPLETED,yes
852,30,FAILED,yes
-3,3,TIMEOUT,yes
-3,3,TIMEOUT,yes
588,192,COMPLETED,yes
3214,96,COMPLETED,yes
-14,1,TIMEOUT,yes
1781,1,COMPLETED,yes
4042,1,COMPLETED,yes
282,1,COMPLETED,yes
3040,4,COMPLETED,yes
2592,16,COMPLETED,yes
2606,16,COMPLETED,yes
2625,16,COMPLETED,yes
2674,16,COMPLETED,yes
7083,16,COMPLETED,yes
184,2,COMPLETED,yes
7060,4,COMPLETED,yes
134,2,COMPLETED,yes
4741,2,CANCELLED by 16819,yes
7160,16,COMPLETED,yes
1762,1,FAILED,yes
1785,1,COMPLETED,yes
6102,16,COMPLETED,yes
1785,1,COMPLETED,yes
3418,1,FAILED,yes
1786,1,COMPLETED,yes
1783,1,COMPLETED,yes
-7,144,TIMEOUT,yes
1784,1,COMPLETED,yes
-18,128,TIMEOUT,yes
853,30,FAILED,yes
3172,1,FAILED,yes
-17,3,TIMEOUT,yes
4323,1,CANCELLED by 16819,yes
1778,1,COMPLETED,yes
1782,1,COMPLETED,yes
3175,1,FAILED,yes
1013,3,COMPLETED,yes
